id,num_items,capacidad,num_variables_qubo,optimo,valor_total,peso,factible,coincide,ratio_optimo,brecha_optimo,exceso_peso,prob_optimo,ratio_optimo_medio,tiempo_total,t_solver,t_cuantico,t_clasico,pct_tiempo_solver_sobre_total,pct_tiempo_cuantico_sobre_solver,pct_tiempo_clasico_sobre_solver,tiempo_medio_iter,tiempo_por_eval,total_evals,num_factibles_qaoa,prob_optimo_muestras,prob_optimo_starts,tasa_factibilidad,ratio_medio_factibles,valor_medio_start,std_valor_start,tiempo_medio_start,total_muestras,starts,reads_por_start,muestras_esperadas,metodo,warmstart,epsilon_warmstart
12,3,7,6,12,12,7,True,True,1.0,0,0,1.0,1.0,1056.8382324000122,1056.8358542999194,1046.7574994001188,10.078354899800615,0.9999977497974432,0.9904636516079625,0.009536348392037501,0.3361950316400034,0.4210501411553464,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
13,4,5,7,7,7,5,True,True,1.0,0,0,0.9,0.9857142857142858,2042.1930013000092,2042.1903859000013,2030.7313823998848,11.459003500116523,0.9999987193179066,0.9943888662001185,0.005611133799881492,0.6473694084799848,0.8136216676892435,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
14,2,3,4,6,6,3,True,True,1.0,0,0,1.0,1.0,255.7652069000178,255.76297710003564,245.94708180023008,9.815895299805561,0.9999912818478746,0.9616211251092597,0.038378874890740364,0.08204440871999832,0.10189760043826121,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
15,3,5,6,10,10,5,True,True,1.0,0,0,0.9,0.97,1035.8404326000018,1035.8381101000414,1025.9138899992104,9.924220100831008,0.9999977578593311,0.9904191398211131,0.009580860178886954,0.3302683706400334,0.41268450601595275,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
17,3,3,5,6,6,3,True,True,1.0,0,0,1.0,1.0,436.3637369000062,436.36138340001344,427.08377169957384,9.277611700439593,0.9999946065637593,0.978738696746832,0.021261303253167996,0.13952548276002052,0.17384915673307308,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
19,3,5,6,8,8,5,True,True,1.0,0,0,1.0,1.0,1019.421867099998,1019.4193800999783,1009.3653648998879,10.054015200090362,0.9999975603819184,0.9901375082754418,0.009862491724558274,0.32395045204000783,0.4061431793227005,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
20,4,6,7,11,11,6,True,True,1.0,0,0,0.9,0.990909090909091,2105.196629800019,2105.1941071000183,2093.7926117999305,11.401495300087845,0.9999988016796318,0.9945841120960605,0.005415887903939566,0.6706882499199943,0.8387227518326766,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
1,2,3,4,5,5,3,True,True,1.0,0,0,N/A,N/A,0.015128200000617653,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5,1.0,1.0,0.734,5,0.0,0.0013026599976001308,100,10,10,100,sa,N/A,N/A
2,2,4,5,7,7,4,True,True,1.0,0,0,N/A,N/A,0.01632870000321418,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.28,1.0,1.0,0.4857142857142857,7,0.0,0.0014171799994073808,100,10,10,100,sa,N/A,N/A
3,3,4,6,10,10,4,True,True,1.0,0,0,N/A,N/A,0.018353099992964417,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.32,1.0,1.0,0.724,10,0.0,0.001606350002111867,100,10,10,100,sa,N/A,N/A
