id,num_items,capacidad,num_variables_qubo,optimo,valor_total,peso,factible,coincide,ratio_optimo,brecha_optimo,exceso_peso,prob_optimo,ratio_optimo_medio,tiempo_total,t_solver,t_cuantico,t_clasico,pct_tiempo_solver_sobre_total,pct_tiempo_cuantico_sobre_solver,pct_tiempo_clasico_sobre_solver,tiempo_medio_iter,tiempo_por_eval,total_evals,num_factibles_qaoa,prob_optimo_muestras,prob_optimo_starts,tasa_factibilidad,ratio_medio_factibles,valor_medio_start,std_valor_start,tiempo_medio_start,total_muestras,starts,reads_por_start,muestras_esperadas,metodo,warmstart,epsilon_warmstart
203,2,5,5,8,8,5,True,True,1.0,0,0,0.9,0.9375,457.75528490002034,457.7530606999644,448.7957718995167,8.957288800447714,0.9999951410718143,0.9804320504449476,0.019567949555052335,0.1454236564800376,0.18237143920315244,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
204,2,4,5,6,6,4,True,True,1.0,0,0,1.0,1.0,518.5867098000017,518.584486000007,509.6986440999899,8.885841900017112,0.9999957118068152,0.982865199133595,0.017134800866405002,0.16470876724007538,0.2066070788047848,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
301,3,5,6,9,9,5,True,True,1.0,0,0,0.7,0.9666666666666668,1039.0253155999817,1039.0229195999564,1029.257743000344,9.76517659961246,0.9999976939926397,0.9906015772940098,0.0093984227059902,0.33386991532002575,0.41395301756971287,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
302,3,5,6,9,9,5,True,True,1.0,0,0,0.9,0.9888888888888889,984.0380991999991,984.0357416999759,974.0089090007241,10.026832699251827,0.9999976042594031,0.9898104994825392,0.0101895005174608,0.315302215200034,0.3920457816732847,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
303,3,5,6,11,11,5,True,True,1.0,0,0,0.7,0.9727272727272727,1046.4265931000118,1046.4241536000045,1036.4946229992784,9.929530600726139,0.999997668732787,0.9905109887166063,0.009489011283393694,0.3340121875599958,0.41690171832669587,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
304,3,4,6,7,7,4,True,True,1.0,0,0,0.9,0.9857142857142858,925.8169661000138,925.8145675000269,915.9217889005668,9.892778599460144,0.9999974092071384,0.9893145140001701,0.010685485999829936,0.29556565983996264,0.36885021107570004,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
401,4,9,8,21,21,9,True,True,1.0,0,0,0.7,0.9095238095238095,5851.588026200014,5851.585157099937,5837.208965400816,14.376191699120682,0.999999509688641,0.9975431970460726,0.002456802953927371,1.867026211120002,2.3313084623904157,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
402,4,8,8,21,21,8,True,True,1.0,0,0,0.5,0.9428571428571428,5899.081757500011,5899.078871500038,5884.65113499877,14.427736501267646,0.9999995107713214,0.9975542390912975,0.002445760908702499,1.8826274816399673,2.3502303181673434,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
403,4,7,7,20,20,7,True,True,1.0,0,0,0.9,0.9800000000000001,2273.48853219999,2273.4859251999296,2261.892182601616,11.593742598313838,0.999998853304064,0.9949004555208345,0.00509954447916553,0.7266548926799791,0.9057709358167135,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
404,4,8,8,21,21,8,True,True,1.0,0,0,0.6,0.9333333333333333,5682.556783700013,5682.5539591001,5668.1591805997305,14.394778500369284,0.9999995029350308,0.997466847019144,0.0025331529808559653,1.8089166892000008,2.2639653623506217,2510,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,qaoa,N/A,N/A
201,2,5,5,9,9,5,True,True,1.0,0,0,N/A,N/A,0.019059100013691932,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.25,1.0,1.0,0.5277777777777778,9,0.0,0.0016120399814099073,100,10,10,100,sa,N/A,N/A
202,2,6,5,11,11,6,True,True,1.0,0,0,N/A,N/A,0.016549799998756498,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.47,1.0,1.0,0.6536363636363637,11,0.0,0.0013727199984714389,100,10,10,100,sa,N/A,N/A
203,2,5,5,8,8,5,True,True,1.0,0,0,N/A,N/A,0.016405100002884865,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.38,1.0,1.0,0.485,8,0.0,0.0014027700060978531,100,10,10,100,sa,N/A,N/A
204,2,4,5,6,6,4,True,True,1.0,0,0,N/A,N/A,0.01631710003130138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.47,1.0,0.96,0.4895833333333333,6,0.0,0.0013976399903185665,100,10,10,100,sa,N/A,N/A
301,3,5,6,9,9,5,True,True,1.0,0,0,N/A,N/A,0.019503600022289902,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.19,0.8,1.0,0.6444444444444445,8.8,0.4,0.0016192799957934767,100,10,10,100,sa,N/A,N/A
302,3,5,6,9,9,5,True,True,1.0,0,0,N/A,N/A,0.018758999998681247,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.27,1.0,1.0,0.6666666666666666,9,0.0,0.0016002299962565303,100,10,10,100,sa,N/A,N/A
303,3,5,6,11,11,5,True,True,1.0,0,0,N/A,N/A,0.02100319997407496,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.31,1.0,1.0,0.6263636363636363,11,0.0,0.0018232800008263438,100,10,10,100,sa,N/A,N/A
304,3,4,6,7,7,4,True,True,1.0,0,0,N/A,N/A,0.020943399984389544,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.23,0.9,0.98,0.7346938775510203,6.9,0.3,0.0018119700020179153,100,10,10,100,sa,N/A,N/A
401,4,9,8,21,21,9,True,True,1.0,0,0,N/A,N/A,0.024151199962943792,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.07,0.5,0.97,0.5360824742268041,19.6,1.7435595774162693,0.0020477599988225847,100,10,10,100,sa,N/A,N/A
402,4,8,8,21,21,8,True,True,1.0,0,0,N/A,N/A,0.023831100028473884,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.09,0.8,0.99,0.6464646464646464,20.6,0.8,0.0020498900150414555,100,10,10,100,sa,N/A,N/A
403,4,7,7,20,20,7,True,True,1.0,0,0,N/A,N/A,0.021315400023013353,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.17,0.7,1.0,0.6795,18.9,1.7578395831246947,0.0018234199960716069,100,10,10,100,sa,N/A,N/A
404,4,8,8,21,21,8,True,True,1.0,0,0,N/A,N/A,0.023542599985376,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.16,0.8,0.99,0.6108706108706109,20.1,2.118962010041709,0.002010510000400245,100,10,10,100,sa,N/A,N/A
