id,num_filas,num_columnas,tamano_matriz,num_variables_qubo,optimo,coste_total,violacion,factible,coincide,ratio_optimo,brecha_optimo,desviacion_relativa_optimo,prob_optimo,ratio_optimo_medio,tiempo_total,t_solver,t_cuantico,t_clasico,pct_tiempo_solver_sobre_total,pct_tiempo_cuantico_sobre_solver,pct_tiempo_clasico_sobre_solver,tiempo_medio_iter,tiempo_por_eval,total_evals,num_factibles_qaoa,prob_optimo_muestras,prob_optimo_starts,tasa_factibilidad,ratio_medio_factibles,coste_medio_start,std_coste_start,tiempo_medio_start,total_muestras,starts,reads_por_start,muestras_esperadas,penalizacion,metodo,warmstart,epsilon_warmstart
203,2,2,2x2,5,8,8,0,True,True,1.0,0,0.0,N/A,N/A,0.0164051000028848,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.38,1.0,1.0,0.485,8.0,0.0,0.0014027700060978,100.0,10,10.0,100.0,N/A,sa,N/A,N/A
204,2,2,2x2,5,6,6,0,True,True,1.0,0,0.0,N/A,N/A,0.0163171000313013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.47,1.0,0.96,0.4895833333333333,6.0,0.0,0.0013976399903185,100.0,10,10.0,100.0,N/A,sa,N/A,N/A
301,3,3,3x3,6,9,9,0,True,True,1.0,0,0.0,N/A,N/A,0.0195036000222899,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.19,0.8,1.0,0.6444444444444445,8.8,0.4,0.0016192799957934,100.0,10,10.0,100.0,N/A,sa,N/A,N/A
302,3,3,3x3,6,9,9,0,True,True,1.0,0,0.0,N/A,N/A,0.0187589999986812,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.27,1.0,1.0,0.6666666666666666,9.0,0.0,0.0016002299962565,100.0,10,10.0,100.0,N/A,sa,N/A,N/A
303,3,3,3x3,6,11,11,0,True,True,1.0,0,0.0,N/A,N/A,0.0210031999740749,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.31,1.0,1.0,0.6263636363636363,11.0,0.0,0.0018232800008263,100.0,10,10.0,100.0,N/A,sa,N/A,N/A
304,3,3,3x3,6,7,7,0,True,True,1.0,0,0.0,N/A,N/A,0.0209433999843895,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.23,0.9,0.98,0.7346938775510203,6.9,0.3,0.0018119700020179,100.0,10,10.0,100.0,N/A,sa,N/A,N/A
401,4,4,4x4,8,21,21,0,True,True,1.0,0,0.0,N/A,N/A,0.0241511999629437,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.07,0.5,0.97,0.5360824742268041,19.6,1.743559577416269,0.0020477599988225,100.0,10,10.0,100.0,N/A,sa,N/A,N/A
402,4,4,4x4,8,21,21,0,True,True,1.0,0,0.0,N/A,N/A,0.0238311000284738,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.09,0.8,0.99,0.6464646464646464,20.6,0.8,0.0020498900150414,100.0,10,10.0,100.0,N/A,sa,N/A,N/A
403,4,4,4x4,7,20,20,0,True,True,1.0,0,0.0,N/A,N/A,0.0213154000230133,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.17,0.7,1.0,0.6795,18.9,1.757839583124695,0.0018234199960716,100.0,10,10.0,100.0,N/A,sa,N/A,N/A
404,4,4,4x4,8,21,21,0,True,True,1.0,0,0.0,N/A,N/A,0.023542599985376,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.16,0.8,0.99,0.6108706108706109,20.1,2.118962010041709,0.0020105100004002,100.0,10,10.0,100.0,N/A,sa,N/A,N/A
201,2,2,2x2,5,9,9,0,True,True,1.0,0,0.0,1.0,1.0,442.61800440005027,442.6157518000691,433.17922070156783,9.436531098501291,0.9999949107357614,0.9786800829836624,0.0213199170163374,0.1413496538800187,0.1763407064940357,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
202,2,2,2x2,5,11,11,0,True,True,1.0,0,0.0,0.9,0.9636363636363636,395.5601973999874,395.55789399996866,386.3200869007269,9.237807099241763,0.99999417686604,0.97664613135178,0.0233538686482199,0.1267243086399976,0.1575925193227033,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
203,2,2,2x2,5,8,8,0,True,True,1.0,0,0.0,0.9,0.9375,411.819721100037,411.8175331001403,402.4094293995877,9.4081037005526,0.999994686995827,0.9771546790887486,0.0228453209112514,0.13108121199999,0.1640705265339224,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
204,2,2,2x2,5,6,6,0,True,True,1.0,0,0.0,1.0,1.0,464.6696585000027,464.6674169000471,455.36758069955977,9.299836200487334,0.9999951759278564,0.9799860376212094,0.0200139623787905,0.1472604482799535,0.185126201474118,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
301,3,3,3x3,6,9,9,0,True,True,1.0,0,0.0,0.5,0.9444444444444446,933.5417904999922,933.53943970002,923.8153044012724,9.72413529874757,0.9999974818481656,0.9895835838474352,0.0104164161525647,0.2995584566400386,0.371927752868533,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
302,3,3,3x3,6,9,9,0,True,True,1.0,0,0.0,0.8,0.9666666666666666,863.8157502999529,863.8132743000169,854.0241629001102,9.789111399906687,0.9999971336480782,0.988667560813025,0.0113324391869749,0.2752274656399852,0.3441484251394691,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
303,3,3,3x3,6,11,11,0,True,True,1.0,0,0.0,0.9,0.990909090909091,945.3511139000184,945.3487252999912,935.636770601559,9.711954698432235,0.9999974733197096,0.9897265903697596,0.0102734096302402,0.3012776450000237,0.3766327249402212,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
304,3,3,3x3,6,7,7,0,True,True,1.0,0,0.0,0.9,0.9857142857142858,807.4038564999937,807.4014692999772,797.5874262008583,9.814043099118862,0.9999970433631232,0.9878449030968104,0.0121550969031895,0.2565800337200286,0.3216735400796814,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
401,4,4,4x4,8,21,21,0,True,True,1.0,0,0.0,0.6,0.9523809523809524,4654.052303900011,4654.049676799914,4640.4769292014535,13.57274759846041,0.9999994355241572,0.997083669375916,0.0029163306240841,1.4916491299599874,1.854202713784822,2510.0,10.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,qaoa_warmstart,True,0.25
